id,axis,input_tokens,output_tokens,max_concurrency,request_rate,requests,completed,failed,error_rate,timeout_rate,request_throughput,output_throughput,total_token_throughput,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms,peak_model_cpu_percent,peak_model_rss_bytes,minimum_system_available_bytes,peak_system_memory_percent,peak_swap_used_bytes,peak_kv_cache_usage,metal_utilization
concurrency-1,concurrency,512,64,1,inf,24,24,0,0.0,,0.15990590496928112,10.233977918033991,94.0246721219373,2666.91287499998,3225.732593801876,3789.1190801604534,56.06900793651538,58.55049600393122,58.977229203503356,54.376082996896,68.65347874554573,72.50490000078571,6186.752167002851,6752.666906305603,7437.875917499186,10.0,157646848,1081196544,93.7,9417654272,0.013643067846607626,
concurrency-2,concurrency,512,64,2,inf,24,24,0,0.0,,0.11361480706005238,7.271347651843352,66.8055065513108,4919.94272899683,5360.240676748799,5425.22194191406,239.75286078573498,257.0265922333506,259.25985096179664,233.02562499884516,299.05000889702933,326.489543440257,20145.962979499018,21524.077615101847,21593.251041820404,11.6,187400192,1124777984,93.5,9329180672,0.027286135693215363,
concurrency-4,concurrency,512,64,4,inf,24,24,0,0.0,,0.1862008901479408,11.916856969468212,109.4861234069892,7815.67431250005,9335.695723249955,9335.91301216169,217.04578108729618,237.14141832376572,238.06149309233803,216.35631249955622,277.6058332510729,338.40214375450387,21520.861957997113,23845.21652494841,23854.0209135849,14.8,153894912,1040859136,93.9,9754640384,0.054572271386430726,
length-i2048-o128,token_length,2048,128,1,inf,12,12,0,0.0,,0.0498492168851071,6.380699761293709,109.07008654461434,8698.090707999654,13074.000900148894,13191.013913631396,75.18364911811659,116.50290372520207,127.01168861904726,65.06387550325599,162.39446899817267,219.58869420268462,18602.903541999694,27869.869673249555,29321.498368250395,13.5,165347328,1108738048,93.5,9528344576,0.05051622418879054,
length-i512-o64,token_length,512,64,1,inf,12,12,0,0.0,,0.23165880764283545,14.826163689141469,136.21537889398724,1040.4668125011085,1322.6599890982468,1342.7972306161973,50.21656183331895,53.38695615558656,54.17407483748523,50.50266649777768,57.95244375040056,60.98108249512736,4289.779499998986,4551.273962197956,4638.650225238016,6.9,162283520,1115373568,93.5,9449635840,0.013643067846607626,
length-i64-o32,token_length,64,32,1,inf,12,12,0,0.0,,0.5905828500903195,18.898651202890225,63.78294780975451,257.3640629998408,276.76623995139374,281.6270479922241,45.844801064489616,49.383038916142056,50.012363705851214,46.090979001746746,54.17825445038033,61.25773388928793,1689.9730624973017,1790.5340628003614,1807.6377797628083,3.9,661684224,1080737792,93.7,9284616192,0.002581120943952797,
output-i512-o128,output_length,512,128,1,inf,12,12,0,0.0,,0.06443510553871051,8.247693508954946,42.01168881123925,3805.9457295021275,5437.150878801912,5999.781775759621,91.47743044486273,147.67024739169673,158.94501483264952,79.49329200346256,196.76856249861885,271.1496082010855,15363.795853998454,24319.14295594688,25188.407523990172,11.9,160153600,1137754112,93.4,9751691264,0.015117994100295018,
output-i512-o16,output_length,512,16,1,inf,12,12,0,0.0,,0.3646575816687065,5.834521306699304,196.9150941011015,1920.8685624980717,2183.446358299989,2266.7198052557073,52.92872779997803,58.970724003568954,59.101204800734806,54.16389550009626,65.90597895301471,68.41862149412918,2718.6509585008025,2979.6279251509986,3055.4270186297076,5.4,153763840,1124040704,93.5,9419816960,0.012536873156342221,
rate-0.10,request_rate,512,64,4,0.1,12,12,0,0.0,,0.09502531062803356,6.081619880194148,55.87488264928373,2537.713083496783,4410.138099699907,4650.393352741595,124.88511045243256,172.62156270316774,173.13131202003407,114.32089549998636,194.61103124740475,210.18950188765308,9132.487708506233,15285.296549999473,15557.66601000374,6.5,174161920,1055752192,93.9,9688842240,0.040560471976401224,
rate-0.25,request_rate,512,64,4,0.25,12,12,0,0.0,,0.1927984713989274,12.339102169531353,113.3655011825693,2263.3182080026018,4223.682159899545,4306.617998376823,194.74099173812505,230.40195095953615,239.7493182300033,162.15077100059716,193.79264319868525,1759.4596596102954,15958.08250000482,17262.636825299705,17282.67193225969,5.7,161005568,1279787008,92.6,9596305408,0.05420353982300885,
rate-0.50,request_rate,512,64,4,0.5,12,12,0,0.0,,0.22343723737051338,14.299983191712856,131.38109557386187,2227.3863754999184,3490.318145798301,3507.49336275454,200.35676256347435,227.5123090833418,228.02857662299795,153.25537500029895,187.25026480315137,1662.5643997824955,15985.747062502924,16228.451632997896,16260.39849300025,7.3,162283520,1347436544,92.2,9504030720,0.05346607669616521,
rate-1.00,request_rate,512,64,4,1.0,12,12,0,0.0,,0.2343141719402794,14.996107004177881,137.7767331008843,3299.8486245014647,3664.4955204974394,3686.3079704984557,198.9374384920377,234.77392814685507,235.26816076588668,155.39020849973895,261.276698250731,1642.0230507505046,15880.2904999975,18460.21036874954,18469.534573747515,7.7,161873920,1147535360,93.3,9453699072,0.054572271386430726,
